CustomerId,Date,Amount,Description
3,9/05/2016 1:26:54 PM,-13.94,SIT MAURIS IPSUM SIT
5,4/08/2016 12:12:05 AM,-19.79,NISL ULLAMCORPER SED ELIT
23,16/06/2016 9:28:47 PM,-13.17,PULVINAR QUISQUE AUGUE
11,3/05/2016 9:10:58 AM,-13.25,QUISQUE QUISQUE BLANDIT
19,31/08/2016 1:29:56 AM,-7.82,NUNC LACINIA SIT JUSTO
4,4/05/2016 12:14:06 AM,-11.6,DIGNISSIM CONSECTETUR NON
11,5/06/2016 10:06:38 PM,-7.47,CONGUE MASSA
4,13/06/2016 12:59:44 AM,-3.65,INTERDUM AT LUCTUS
25,19/08/2016 8:39:29 PM,-4.32,ID MASSA
9,15/07/2016 9:06:13 PM,-4.35,EST
10,24/05/2016 7:59:44 AM,-7.37,CURABITUR ENIM
20,27/08/2016 3:22:12 PM,-3.87,VELIT ACCUMSAN EST
14,17/08/2016 3:12:05 PM,-13.16,VITAE PHARETRA
17,19/06/2016 4:30:30 PM,-15.3,SEMPER
25,14/08/2016 1:32:30 PM,-18.51,LEO MAGNA
2,15/05/2016 4:56:57 AM,-17.49,AC DOLOR
5,14/06/2016 4:13:03 AM,-16.79,SAPIEN
25,9/07/2016 1:59:41 PM,-11.18,LUCTUS MAGNA SED DOLOR
22,28/08/2016 5:02:49 AM,-7.75,LUCTUS CONGUE FINIBUS AC
17,10/08/2016 3:24:38 PM,-15.87,EGET CONGUE
9,15/07/2016 12:05:04 PM,-8.03,AC
21,2/08/2016 7:23:54 AM,-10.58,NISL DOLOR
16,1/05/2016 8:21:11 AM,-7.45,IPSUM TEMPUS
1,2/08/2016 1:13:43 PM,-4.01,UT URNA NEC
6,31/07/2016 10:29:25 AM,-41.05,ULLAMCORPER ID
23,4/06/2016 12:14:32 AM,-13.99,NEC
21,26/06/2016 3:05:42 PM,-17.95,VELIT IPSUM FINIBUS FAUCIBUS
5,10/06/2016 8:49:36 PM,-16.42,CURSUS
16,4/05/2016 9:27:45 AM,-8.08,ACCUMSAN IPSUM CURSUS
24,28/08/2016 8:32:45 PM,-10.69,FINIBUS INTERDUM NUNC UT
24,3/07/2016 1:40:15 AM,-4.23,IPSUM TEMPUS SIT
10,17/07/2016 4:25:46 AM,-14.36,CONGUE FAUCIBUS MI MASSA
15,30/07/2016 4:24:01 AM,-6.5,EFFICITUR IPSUM CONGUE NULLA
19,28/08/2016 3:13:58 PM,-1.19,NEC LEO
22,19/07/2016 5:35:03 AM,-13.27,MORBI IPSUM
2,8/07/2016 4:13:11 AM,-13.59,CONSECTETUR URNA
12,1/05/2016 9:56:21 PM,-7.05,ET
24,18/05/2016 8:11:18 AM,-9.08,NUNC LUCTUS RUTRUM CONSECTETUR
25,22/08/2016 12:53:01 AM,-9.31,EGET UT
11,9/07/2016 12:15:41 AM,-2.71,MAURIS
10,16/07/2016 6:16:16 PM,-3.13,AC PHARETRA
9,29/06/2016 6:23:12 AM,-8.91,DOLOR NISL ACCUMSAN
1,5/05/2016 11:27:53 PM,-10.8,CONGUE DOLOR
10,1/06/2016 10:34:38 PM,-18.3,JUSTO ID CURSUS MAGNA
21,1/05/2016 9:43:25 AM,-11.24,PRAESENT MORBI
17,29/07/2016 1:51:40 AM,-3.65,SED NUNC
3,25/05/2016 10:18:23 AM,-19.65,IMPERDIET MAGNA
2,9/05/2016 1:03:41 PM,-3.06,DIGNISSIM
22,25/05/2016 10:31:51 AM,-17.58,IPSUM NON NON
15,5/05/2016 7:02:29 AM,-13.99,IACULIS CONGUE
9,2/08/2016 8:38:36 AM,128.62,SED CURABITUR A
12,18/05/2016 3:26:42 PM,-4.53,URNA METUS METUS
17,29/06/2016 8:14:46 PM,-15.82,UT QUAM
6,21/06/2016 8:51:43 AM,-3.01,URNA ADIPISCING
4,2/05/2016 10:17:20 AM,197.81,QUIS FAUCIBUS LOREM FAUCIBUS
7,11/07/2016 5:13:36 AM,-6.93,ORNARE FAUCIBUS BLANDIT
23,14/07/2016 10:03:41 PM,-6.89,UT AMET
18,26/05/2016 4:23:41 AM,-3.04,NISL ENIM AC ULLAMCORPER
22,21/05/2016 1:29:22 AM,-18.24,SEM NUNC
2,14/08/2016 10:39:06 AM,-1.67,MAGNA
8,1/07/2016 3:18:51 PM,-18.17,QUAM QUAM IACULIS CONSECTETUR
11,11/08/2016 9:28:08 PM,-15.65,MAGNA
14,19/05/2016 7:36:38 PM,-3.7,FAUCIBUS EST
5,5/05/2016 2:35:01 AM,-7.57,IACULIS FINIBUS MAURIS MAGNA
5,17/08/2016 5:48:40 PM,-3.6,LEO
3,31/05/2016 8:23:26 PM,-7.17,CURABITUR SODALES QUISQUE CONGUE
12,30/06/2016 2:31:44 PM,-16.38,CURSUS
16,19/05/2016 10:46:42 PM,-17.97,NUNC DIAM
24,24/08/2016 8:06:36 PM,-14.07,ELIT SEMPER
13,13/06/2016 8:48:54 PM,-8.71,MAGNA AMET
10,1/06/2016 10:38:52 PM,-1.15,SED
25,23/06/2016 5:29:01 PM,-18.88,ORCI
22,1/06/2016 5:07:29 PM,-16,IPSUM MAURIS
